adult,original_title,release_date,imdb_id,popularity
False,Toy Story,1995-10-30,tt0114709,21.946943
False,Jumanji,1995-12-15,tt0113497,17.015539
False,Grumpier Old Men,1995-12-22,tt0113228,11.7129
False,Waiting to Exhale,1995-12-22,tt0114885,3.859495
False,Father of the Bride Part II,1995-02-10,tt0113041,8.387519
False,Heat,1995-12-15,tt0113277,17.924927
False,Sabrina,1995-12-15,tt0114319,6.677277
False,Tom and Huck,1995-12-22,tt0112302,2.561161
False,Sudden Death,1995-12-22,tt0114576,5.23158
False,GoldenEye,1995-11-16,tt0113189,14.686036
False,The American President,1995-11-17,tt0112346,6.318445
False,Dracula: Dead and Loving It,1995-12-22,tt0112896,5.430331
False,Balto,1995-12-22,tt0112453,12.140733
False,Nixon,1995-12-22,tt0113987,5.092
False,Cutthroat Island,1995-12-22,tt0112760,7.284477
False,Casino,1995-11-22,tt0112641,10.137389
False,Sense and Sensibility,1995-12-13,tt0114388,10.673167
False,Four Rooms,1995-12-09,tt0113101,9.026586
False,Ace Ventura: When Nature Calls,1995-11-10,tt0112281,8.205448
False,Money Train,1995-11-21,tt0113845,7.337906
False,Get Shorty,1995-10-20,tt0113161,12.669608
False,Copycat,1995-10-27,tt0112722,10.701801
False,Assassins,1995-10-06,tt0112401,11.065939
False,Powder,1995-10-27,tt0114168,12.133094
False,Leaving Las Vegas,1995-10-27,tt0113627,10.332025
False,Othello,1995-12-15,tt0114057,1.845899
False,Now and Then,1995-10-20,tt0114011,8.681325
False,Persuasion,1995-09-27,tt0114117,2.228434
False,La Cité des Enfants Perdus,1995-05-16,tt0112682,9.822423
False,摇啊摇，摇到外婆桥,1995-04-30,tt0115012,1.100915
False,Dangerous Minds,1995-08-11,tt0112792,9.481338
False,Twelve Monkeys,1995-12-29,tt0114746,12.297305
False,Guillaumet les ailes du courage,1996-09-18,tt0114952,0.745542
False,Babe,1995-07-18,tt0112431,14.404764
False,Carrington,1995-11-08,tt0112637,1.493361
False,Dead Man Walking,1995-12-29,tt0112818,6.891317
False,Across the Sea of Time,1995-10-20,tt0112286,0.114469
False,It Takes Two,1995-11-17,tt0113442,7.777735
False,Clueless,1995-07-19,tt0112697,9.882383
False,Cry the Beloved Country,1995-12-15,tt0112749,0.894647
False,Richard III,1995-12-29,tt0114279,4.561387
False,Dead Presidents,1995-10-06,tt0112819,9.87957
False,Restoration,1995-12-29,tt0114272,10.979269
False,Mortal Kombat,1995-08-18,tt0113855,10.870138
False,To Die For,1995-05-20,tt0114681,10.448481
False,How To Make An American Quilt,1995-10-06,tt0113347,4.485958
False,Se7en,1995-09-22,tt0114369,18.45743
False,Pocahontas,1995-06-14,tt0114148,13.280069
False,When Night Is Falling,1995-05-05,tt0114916,3.302524
False,The Usual Suspects,1995-07-19,tt0114814,16.302466
False,Guardian Angel,1994-11-22,tt0109950,0.595949
False,Mighty Aphrodite,1995-09-13,tt0113819,15.899134
False,Lamerica,1994-01-01,tt0110299,1.361286
False,The Big Green,1995-09-29,tt0112499,5.982764
False,Georgia,1995-05-19,tt0113158,4.093443
False,Kids of the Round Table,1997-07-08,tt0113541,0.307075
False,Home for the Holidays,1995-11-02,tt0113321,8.416802
False,Il postino,1994-09-22,tt0110877,10.168437
False,Le confessionnal,1995-09-29,tt0112714,0.120789
False,The Indian in the Cupboard,1995-07-14,tt0113419,10.673296
False,Eye for an Eye,1996-01-12,tt0116260,4.733526
False,Mr. Holland's Opus,1995-12-29,tt0113862,7.137117
False,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,tt0116126,11.700115
False,Two If by Sea,1996-01-12,tt0118002,2.174487
False,Bio-Dome,1996-01-12,tt0115683,6.387469
False,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,tt0116839,2.49535
False,Two Bits,1995-10-22,tt0114753,4.046208
False,Gazon maudit,1995-02-08,tt0113149,2.518051
False,Friday,1995-04-26,tt0113118,14.56965
False,From Dusk Till Dawn,1996-01-19,tt0116367,15.339153
False,Fair Game,1995-11-03,tt0113010,5.912223
False,Kicking and Screaming,1995-10-06,tt0113537,3.367276
False,Les misérables,1995-03-22,tt0113828,1.479446
False,Bed of Roses,1996-01-26,tt0115644,10.412194
False,Big Bully,1996-01-26,tt0115676,2.936443
False,Screamers,1995-09-08,tt0114367,12.758848
False,Nico Icon,1995-02-18,tt0113973,0.133893
False,The Crossing Guard,1995-11-15,tt0112744,5.756462
False,The Juror,1996-02-02,tt0116731,6.010579
False,بادکنک سفید,1995-01-01,tt0112445,1.196256
False,Things to Do in Denver When You're Dead,1995-12-01,tt0114660,4.486179
False,Antonia,1995-09-12,tt0112379,2.030174
False,Once Upon a Time... When We Were Colored,1996-01-26,tt0114039,0.252287
False,Last Summer in the Hamptons,1995-11-22,tt0113612,0.531159
False,Angels and Insects,1995-09-10,tt0112365,2.15166
False,White Squall,1996-02-02,tt0118158,9.568604
